id,target
4941,7299752.0
51775,1059308.9
115253,2432588.2
299321,1453222.4
173570,689862.56
30862,1330429.1
244471,2309294.8
127794,618157.3
71558,2262247.2
218011,1354737.9
148208,3788367.0
155735,596015.8
100698,3755244.8
241403,1678660.5
195272,1933789.1
238663,1307336.8
262957,5767264.5
207082,1177640.8
298896,375144.7
220946,623183.9
74581,1285755.8
253578,6408292.5
47620,2104017.0
92772,2081872.2
116904,2422552.0
208352,5453124.0
76044,926532.6
202667,707437.2
62134,6108888.0
277353,4291280.5
64194,3681059.2
295822,4691613.0
27391,2297430.5
203500,1329997.2
264505,1173508.0
297455,1433687.9
137985,1943583.5
47622,4411147.5
21911,1430133.1
94181,2353731.8
68117,1475933.8
39648,636250.9
73722,3408978.8
133456,1303600.0
30763,9333968.0
58096,556867.8
126979,1858885.4
149636,1991267.1
27810,2410557.5
272001,6796062.0
114617,5061415.5
190693,5683686.5
219814,1743438.0
67164,3445255.8
83961,5680988.5
254122,2827400.2
141378,4774806.5
151754,923170.94
125013,747719.44
273552,1009391.3
201853,995000.06
99511,3010879.2
25140,7797081.5
7603,1014046.7
84095,3542118.2
84071,3534093.2
151177,2495918.0
294081,1072232.8
88694,1867463.6
99932,1031115.0
14442,950886.2
162220,1502758.5
163631,4975407.5
49023,1284875.9
80644,6665664.5
274016,1499271.4
64876,1251038.4
156696,6913969.0
295991,1941586.5
192037,2817662.5
118765,1343793.4
94748,3588610.0
251764,4097635.8
60381,552214.3
283938,595779.56
195995,463474.28
112778,1584059.2
76727,1696955.6
21435,1788108.0
17468,3521973.5
225673,3996687.5
79759,2690170.5
257599,1034346.75
270720,3911467.8
153801,4012375.2
92266,4236186.0
207329,5451808.0
243955,3960368.2
288928,5814430.0
186600,3302406.2
48005,881042.9
212520,1432987.2
294075,1140965.4
131575,1992422.8
202057,4680724.5
239160,2099338.0
92611,1096467.1
268351,2144806.2
259109,1887960.4
265328,1310625.9
229144,1218192.0
261302,2320533.8
84117,2634471.2
31189,4726074.0
107254,1398525.4
192798,1382365.1
28083,2248622.2
118789,4014206.8
2152,6212449.5
287026,1201659.1
249169,2365313.2
137539,3647386.0
46291,380303.9
30233,3728947.0
175145,1359722.4
50676,691079.3
71570,2914378.8
219843,3079747.8
36279,3561701.5
66052,711251.06
252609,2726548.8
24783,7268202.5
299327,5066248.0
95349,6015817.5
46332,790313.44
91240,2483350.2
5445,1439627.0
272876,1400416.5
43811,2065317.1
217082,6708189.5
100370,4887583.0
258874,726160.75
121949,919444.7
212950,464803.75
200057,2387000.5
229177,1942192.2
287838,623096.1
213118,2423411.2
176475,1027989.8
118176,10225720.0
209024,1771874.6
221906,2396353.8
42493,1994976.2
223728,1379599.8
141993,4708196.0
55675,2715157.5
224087,2683944.0
83655,2070505.0
61917,2629705.8
153665,2601289.8
155758,8595476.0
190393,7825569.5
231050,925656.2
201122,2932200.5
59267,644577.9
262487,9870212.0
188582,3260143.0
131814,745956.2
73949,6477011.5
154308,10057710.0
167194,597619.9
277393,2774625.5
196835,1615025.5
91690,2687572.8
162086,2106448.8
231058,3011568.2
54120,5273461.5
247858,4001253.2
98092,842416.0
271915,3017528.2
44677,1619894.0
56078,963221.7
129375,6531245.5
133361,6375161.0
85866,1991249.2
191559,604052.3
218728,3197753.8
208771,3642990.5
109195,1071057.8
39549,2349629.0
169828,3285460.8
57416,1993219.6
33193,5911107.5
173865,4900572.0
50919,3661401.8
108504,2073638.2
72963,2110154.2
270712,1377431.0
63504,1451511.5
26896,1739490.8
261152,1379929.6
8838,596952.3
16064,8261743.0
107661,2915429.2
130161,2035276.9
179573,3513907.2
116121,551078.75
32234,397634.88
191736,1310196.1
57456,4367126.5
160502,1729950.5
215795,1550419.0
126714,3539542.8
173047,434711.5
97726,2872179.0
193811,1357243.4
17156,1145814.1
71055,1054488.5
193990,623088.94
52059,1522335.0
274757,3442721.0
1558,4964226.5
253081,390125.12
181909,2304836.5
145269,1702563.0
186660,5304233.5
6479,1377692.4
249414,491915.38
43182,512426.34
248529,4643050.0
125724,2963340.2
214268,1789794.8
270767,1967425.8
141103,2289834.8
292203,5486531.0
62008,2683666.5
89122,832817.4
47736,6182744.5
222505,4521222.5
29628,771947.44
202216,2526147.2
194828,697466.6
18649,1443690.2
199020,2429995.2
111554,426627.88
244687,5213352.5
230919,5506285.0
42397,6754829.5
221946,2277549.5
168390,756107.9
175576,1280172.9
153541,1325188.8
74055,2325387.2
233828,6193900.5
131312,538677.25
224154,4115963.2
266743,627071.7
15594,1340908.5
227419,4256372.0
115531,4456436.0
12282,428163.4
21847,1527367.0
86772,661267.1
193139,2426886.0
100472,3591951.0
177774,3581602.0
224462,3621483.8
255020,2135056.0
140852,3071587.5
6484,1405907.2
97191,2251497.0
218796,8265769.0
146934,554143.3
183990,1724308.0
150347,3165116.8
291295,9029440.0
175531,1901810.6
80284,2729119.2
64297,1861059.8
221587,1779237.5
145984,4222202.5
266813,527307.56
53725,1326900.2
171137,536969.6
212764,913554.44
30683,1150828.6
204086,2867548.0
78594,7816224.5
162787,1496611.4
212279,1094127.0
33141,608833.9
13870,3072999.8
205831,3435746.0
285806,6199142.0
13820,715635.44
198918,787838.06
165989,5468754.5
81377,1702480.9
149867,631783.75
192119,764466.06
180210,1008392.0
147051,3601289.8
127638,3121575.2
291867,2325504.2
178582,7673890.5
127544,4352082.5
235717,4267720.0
171723,685780.75
161574,590095.8
75409,2203580.8
90035,1140288.8
42840,709967.8
8581,8011276.0
13664,5314704.0
247464,1415924.9
96424,1703813.5
194898,3540521.2
283532,2119803.8
69531,5318717.0
237884,1118116.5
261893,1492751.4
150376,434405.88
182443,2688982.0
224406,5638723.5
171332,2458840.8
140442,1273907.9
154939,1851972.5
131259,7989389.5
162293,998091.5
292709,2980937.5
264845,3025465.0
166131,7197928.0
132328,3147928.8
208063,2698483.0
48322,7213467.5
16624,438384.28
4734,1527496.6
189590,6438303.0
101739,1174470.4
111000,3032848.2
198444,555636.2
16638,3382905.2
55638,11174966.0
258788,1534795.8
238820,2660811.8
115603,1073113.2
246939,3952675.8
191530,850438.3
11213,3658429.8
27388,3267570.2
229061,2122449.0
251977,857001.0
23366,2327834.0
10057,8218328.0
112593,4742999.0
268565,805197.4
157455,5095263.5
59187,830654.75
70372,3281918.8
126007,706663.5
197380,1001791.1
271738,5840479.0
194635,3503763.0
165242,2044104.2
47838,973324.7
29771,692497.7
257199,598301.5
61814,2616924.5
208348,4111024.8
191265,8339062.0
2157,9238118.0
188784,457922.53
95787,2185750.5
238436,2731005.8
239163,2108362.5
295072,1105629.1
104338,3555588.8
291607,596990.75
21708,3064576.2
143149,5740770.5
137148,8896050.0
78780,663583.8
92536,1701855.5
271294,1750529.0
79847,7239976.0
274306,669156.94
153714,899696.6
117114,1285262.6
295580,4818722.5
153341,2461350.5
242231,726782.94
17420,6216127.5
52376,3277672.5
71440,461407.7
254000,1938296.0
199108,4101394.0
146464,5528249.0
154057,4896029.0
276394,2755884.2
106502,3665316.0
84374,746754.06
253180,1682510.5
236365,1237501.5
182279,1963639.2
221109,4267704.5
289706,1381198.5
291438,2009673.9
71066,4158509.5
122789,5165665.0
194910,1690083.1
145391,1612143.8
199164,2841688.8
266382,1078156.5
271414,626784.75
167801,3147728.5
61371,3117718.2
228790,472624.53
290878,4113121.8
144980,882626.7
119483,1178787.0
18604,1513066.5
138393,1384998.2
83163,2685566.2
77727,1583354.4
224928,6624049.5
28596,1148847.2
157996,7739729.5
108954,4352032.5
200857,9132656.0
72173,472620.6
106183,1752612.9
12328,1357657.5
264481,4908495.0
96134,2561697.5
129425,2373489.8
80441,1332259.5
260522,1713555.5
72154,1703983.8
93234,1334881.1
58502,4760106.0
277308,1377643.4
151009,596583.6
90763,682275.4
275585,724525.2
77424,1100006.1
50947,688713.75
86003,4106448.0
202926,1769562.5
52894,6579779.0
152519,4930135.5
145898,2129404.5
133627,1552872.2
113025,713516.0
216655,3011297.2
173878,7360703.5
73954,4321679.5
257397,512492.3
103663,2676047.5
281910,1466647.2
104079,1441282.0
83563,1786528.5
28436,1220362.9
206395,458161.62
239720,4198530.5
35659,427673.9
267856,2406579.2
25953,1613337.6
108843,1618617.8
50565,2095525.8
241574,934590.06
214651,1039694.2
14904,1355766.2
142217,3035207.0
53741,4237329.5
17917,1898442.1
46527,373680.7
254258,5496245.0
117732,3977397.8
84721,2387563.2
283229,2217753.5
174501,2318752.0
122944,923596.3
1934,458674.94
275793,690415.94
123228,814677.6
24600,4075597.5
230991,5249687.0
56772,3255010.5
147503,1165831.1
85741,1590172.4
69716,1660246.4
264260,2437473.0
65737,500473.16
99254,3199596.8
223411,3313192.0
116646,656303.7
75954,981951.25
125531,2094052.9
236312,3862894.5
76948,6695453.0
145527,2821758.8
164479,2320308.2
282478,1828390.8
110104,841487.7
276716,1092798.1
21142,2453070.2
151238,587909.0
286033,1911206.9
94009,488983.7
109338,1440050.9
148928,752343.5
286038,3433579.5
29163,1685786.2
202367,2170518.5
37813,5037652.0
55174,2969038.2
113507,1180194.8
200332,4618958.0
273190,2320043.5
242354,7776115.0
93315,558929.5
265463,2140118.2
290432,767239.7
237127,548625.5
92371,2778851.0
32067,3113970.0
153031,2488001.2
211606,1750303.9
224439,3310345.5
12783,1832348.2
281291,381267.2
