id,target
4941,5880444.0
51775,1241185.8
115253,2601523.0
299321,1324621.8
173570,665249.75
30862,1646947.6
244471,2271251.8
127794,470134.97
71558,2508361.0
218011,972637.25
148208,2808680.5
155735,474876.84
100698,3495024.8
241403,1617187.8
195272,2837316.8
238663,1515380.1
262957,6519990.0
207082,1710305.9
298896,480452.16
220946,657836.75
74581,1600128.5
253578,4968212.5
47620,2537037.8
92772,2772434.0
116904,2876248.5
208352,5411422.5
76044,1472021.1
202667,681182.5
62134,4909786.5
277353,4902595.0
64194,4453688.0
295822,4510751.5
27391,2674700.8
203500,1373082.1
264505,1282276.5
297455,1743396.5
137985,2041812.2
47622,4947802.5
21911,1180736.0
94181,2158444.0
68117,1934473.0
39648,797083.94
73722,3381291.0
133456,1062312.0
30763,8252115.5
58096,596424.8
126979,1644971.5
149636,2304557.5
27810,2031157.8
272001,4823172.0
114617,4751131.5
190693,5265948.0
219814,2054308.5
67164,3710829.8
83961,4664335.5
254122,2333833.8
141378,3948601.2
151754,1680806.1
125013,1039783.5
273552,1160559.6
201853,1445753.8
99511,3198040.0
25140,5420520.5
7603,706752.7
84095,3559948.0
84071,3210871.8
151177,2340644.8
294081,1233968.2
88694,1819371.9
99932,1433682.2
14442,853470.7
162220,1667044.8
163631,5016338.0
49023,1230284.8
80644,4876223.0
274016,1863359.4
64876,1692293.1
156696,7417557.5
295991,1826642.1
192037,3927699.2
118765,1306403.2
94748,2673228.5
251764,4468060.0
60381,789603.5
283938,674855.75
195995,518200.25
112778,1783035.1
76727,2227014.5
21435,1630376.8
17468,3396984.2
225673,4097390.0
79759,2913879.8
257599,1056283.2
270720,3881086.2
153801,4134045.5
92266,2974941.0
207329,4778095.5
243955,4237671.5
288928,4236464.0
186600,3747740.5
48005,883269.9
212520,1904968.0
294075,798316.3
131575,2171259.5
202057,6008407.0
239160,1882744.2
92611,1474024.5
268351,2062108.5
259109,2132911.0
265328,1231955.1
229144,1210184.1
261302,2255172.2
84117,2532197.2
